year,month,date,decimal date,average,interpolated,trend,ndays,std dev
2016,1,1/1/2016,2016.0417,402.73,402.46,27,0.56,0.21
2016,2,1/2/2016,2016.125,404.25,403.41,25,1.11,0.43
2016,3,1/3/2016,2016.2083,405.06,403.55,28,0.81,0.29
2016,4,1/4/2016,2016.2917,407.6,404.78,23,1.04,0.41
2016,5,1/5/2016,2016.375,407.9,404.42,29,0.5,0.18
2016,6,1/6/2016,2016.4583,406.99,404.59,26,0.6,0.23
2016,7,1/7/2016,2016.5417,404.59,404.23,28,0.88,0.32
2016,8,1/8/2016,2016.625,402.45,404.39,24,0.6,0.23
2016,9,1/9/2016,2016.7083,401.23,404.84,25,0.44,0.17
2016,10,1/10/2016,2016.7917,401.79,405.22,29,0.3,0.11
2016,11,1/11/2016,2016.875,403.72,405.73,27,0.72,0.26
2016,12,1/12/2016,2016.9583,404.64,405.33,29,0.44,0.16
2017,1,1/1/2017,2017.0417,406.36,406.05,27,0.68,0.25
2017,2,1/2/2017,2017.125,406.66,405.82,26,0.71,0.27
2017,3,1/3/2017,2017.2083,407.53,406.06,24,1.03,0.4
2017,4,1/4/2017,2017.2917,409.22,406.38,26,0.86,0.32
2017,5,1/5/2017,2017.375,409.89,406.38,27,0.57,0.21
2017,6,1/6/2017,2017.4583,409.08,406.69,26,0.54,0.2
2017,7,1/7/2017,2017.5417,407.33,407,28,0.61,0.22
2017,8,1/8/2017,2017.625,405.32,407.29,29,0.32,0.12
2017,9,1/9/2017,2017.7083,403.57,407.16,26,0.37,0.14
2017,10,1/10/2017,2017.7917,403.82,407.21,27,0.3,0.11
2017,11,1/11/2017,2017.875,405.31,407.34,26,0.41,0.15
2017,12,1/12/2017,2017.9583,407,407.71,31,0.57,0.2
2018,1,1/1/2018,2018.0417,408.15,407.89,29,0.55,0.19
2018,2,1/2/2018,2018.125,408.52,407.66,28,0.52,0.19
2018,3,1/3/2018,2018.2083,409.59,408.1,29,0.65,0.23
2018,4,1/4/2018,2018.2917,410.45,407.65,21,0.9,0.38
2018,5,1/5/2018,2018.375,411.44,407.94,24,0.86,0.33
2018,6,1/6/2018,2018.4583,410.99,408.59,29,0.61,0.22
2018,7,1/7/2018,2018.5417,408.9,408.55,27,0.46,0.17
2018,8,1/8/2018,2018.625,407.16,409.07,31,0.28,0.1
2018,9,1/9/2018,2018.7083,405.71,409.28,29,0.45,0.16
2018,10,1/10/2018,2018.7917,406.19,409.6,30,0.32,0.11
2018,11,1/11/2018,2018.875,408.21,410.24,24,0.56,0.22
2018,12,1/12/2018,2018.9583,409.27,410.01,30,0.5,0.17
2019,1,1/1/2019,2019.0417,411.03,410.77,26,1.26,0.47
2019,2,1/2/2019,2019.125,411.96,411.1,27,1.14,0.42
